outcome,is_primary,beta_G,se_G,p_G,n_G,exposure,beta_H,se_H,p_H,n_H,beta_FE,se_FE,p_FE,beta_RE,se_RE,p_RE,ci_lo_RE,ci_hi_RE,Q,I2,tau2,p_het,k,dir_concordant,base_exposure,detection_rate_G,detection_class_G,detection_rate_H,detection_class_H,strict_continuous_meta,h_near_threshold_low,fdr_RE,fdr_FE,fdr_tier_RE,fdr_tier_FE,fdr_strict_outcome_RE,fdr_strict_outcome_FE,fdr_strict_tier_RE,fdr_strict_tier_FE
RA,TRUE,-0.00367276518738512,0.00277971646606888,0.24364113489700565,1213,PFHxS,0.00456051744624027,0.00455180652553194,0.3902116556407785,1364,-0.001436329641954929,0.002372332044187238,0.5448796997298198,-3.4512381095342455e-4,0.004040323604040664,0.9319276177875571,-0.008264158074873126,0.007573910452966276,2.3830239714271384,58.03651108884469,1.9670588323773907e-5,0.12265990519934167,2,FALSE,PFHxS,0.9862195682131374,high,0.987220447284345,high,TRUE,FALSE,0.9622546954001168,0.7361126830099775,0.9622546954001168,0.7361126830099775,0.9622546954001168,0.6625014147089797,0.9622546954001168,0.6022740133717998
RA,TRUE,-0.00698389369250805,0.00360307779021227,0.11030894590125566,1213,PFOA,0.00851893031225255,0.00504192317464764,0.18968221452887252,1262,-0.0017431714214276065,0.0029314763046906574,0.5520845122574831,3.6633915267778364e-4,0.007741023402269115,0.9622546954001168,-0.014806066715769681,0.015538745021125249,6.258275601498486,84.02115752523652,1.0096719663060581e-4,0.01236144677920814,2,FALSE,PFOA,0.9958658704639411,high,0.990572878897752,high,TRUE,FALSE,0.9622546954001168,0.7361126830099775,0.9622546954001168,0.7361126830099775,0.9622546954001168,0.6625014147089797,0.9622546954001168,0.6022740133717998
IS,FALSE,-0.01371656404434707,0.00497483396273942,0.03996765588743292,1327,BPA_cr,-0.00872901872386182,0.00419678373967085,0.12901113024717822,1403,-0.010802709144978162,0.003207798823886414,7.58147357348804e-4,-0.010802709144978162,0.003207798823886414,7.58147357348804e-4,-0.017089994839795532,-0.004515423450160791,0.5872156146953291,0,0,0.44349784754874866,2,TRUE,BPA,0.9013107170393216,high,0.9527156549520767,high,TRUE,FALSE,0.006065178858790432,0.006065178858790432,0.018195536576371296,0.018195536576371296,0.004548884144092824,0.004548884144092824,0.013646652432278472,0.013646652432278472
IS,FALSE,-0.01329565217408274,0.00630491254587911,0.08875948710505263,1213,PFNA,0.00129527046008471,0.00556334977330054,0.8308799712094863,1364,-0.005092053989400877,0.004171547356098806,0.22221359880683278,-0.005698597128769271,0.0072892247222978036,0.43434169752950824,-0.019985477584472965,0.008588283326934424,3.0111265009673858,66.78983763456203,7.109612020249651e-5,0.08269480240190696,2,FALSE,PFNA,0.9935691318327974,high,0.9865814696485623,high,TRUE,FALSE,0.9394583828875946,0.7294740072064816,0.9394583828875946,0.7365948897877197,0.9394583828875946,0.6565266064858335,0.9183112565686133,0.6871569158455476
IS,FALSE,-0.00995255806455063,0.00584998261751046,0.14962638964458608,1213,PFDA,0.00327630794653143,0.00498092891761345,0.5576522527440928,1364,-0.002283453784190053,0.003792463037372239,0.5471055054048612,-0.002982363509419051,0.006604858643803325,0.6515997876342425,-0.01592788645127357,0.009963159432435467,2.964545426658331,66.26801562871609,5.79854732158349e-5,0.08510837596669085,2,FALSE,PFDA,0.8695452457510335,high,0.8178913738019169,high,TRUE,FALSE,0.9394583828875946,0.7294740072064816,0.9394583828875946,0.77238424292451,0.9394583828875946,0.6565266064858335,0.9183112565686133,0.7034213640919645
IS,FALSE,-0.00604177978843972,0.00556735526364835,0.3273557560446381,1213,PFOS,0.00950423708152123,0.00490157415501326,0.1478539411048511,1262,0.002715909277632454,0.003678923617369071,0.46037180611732476,0.001955402320507588,0.007769775176552912,0.8012978384246097,-0.01327335702553612,0.017184161666551297,4.392490044292098,77.2338698570423,9.332888334617177e-5,0.036097556594996916,2,FALSE,PFOS,0.9967845659163987,high,0.9891225525743292,high,TRUE,FALSE,0.9394583828875946,0.7294740072064816,0.9394583828875946,0.7365948897877197,0.9394583828875946,0.6565266064858335,0.9183112565686133,0.6871569158455476
IS,FALSE,-0.01720395684450537,0.00473780155147212,0.0150414384362079,1213,PFOA,0.01098808004544362,0.00476022447331377,0.10419192196526926,1262,-0.0031744937358626434,0.0033580312315486124,0.34448342486624517,-0.003111715591935153,0.014096017938903128,0.8252860128183399,-0.03073991075218528,0.02451647956831498,17.62031932934482,94.32473395453961,3.74842221713389e-4,2.6969138824717298e-5,2,FALSE,PFOA,0.9958658704639411,high,0.990572878897752,high,TRUE,FALSE,0.9394583828875946,0.7294740072064816,0.9394583828875946,0.7365948897877197,0.9394583828875946,0.6565266064858335,0.9183112565686133,0.6871569158455476
IS,FALSE,-0.00253489890341966,0.00431681152021062,0.5825728197989068,1213,PFHxS,0.00326520184813818,0.00451212298539166,0.521602461381701,1364,2.3690586431768525e-4,0.003119209023009821,0.9394583828875946,2.3690586431768525e-4,0.003119209023009821,0.9394583828875946,-0.005876743820781564,0.006350555549416934,0.8627242409661837,0,0,0.35297745343827125,2,FALSE,PFHxS,0.9862195682131374,high,0.987220447284345,high,TRUE,FALSE,0.9394583828875946,0.9394583828875946,0.9394583828875946,0.9394583828875946,0.9394583828875946,0.9394583828875946,0.9394583828875946,0.9394583828875946
L5,FALSE,2.050066423427772,1.0129670436269609,0.09888689127639969,1213,PFHxS,-0.2132533625980604,2.329916672464642,0.9328419988294944,1364,1.690262179919058,0.9289676052402812,0.06883426033405682,1.690262179919058,0.9289676052402812,0.06883426033405682,-0.13051432635189308,3.511038686190009,0.7936363828575195,0,0,0.3730028231933227,2,FALSE,PFHxS,0.9862195682131374,high,0.987220447284345,high,TRUE,FALSE,0.5506740826724545,0.5506740826724545,0.8260111240086818,0.7365948897877197,0.4130055620043409,0.4130055620043409,0.6195083430065114,0.6195083430065114
L5,FALSE,0.5569621182678319,1.1515829753600235,0.6490721245032456,1213,PFDA,1.1713823664908258,1.1253468531973712,0.3744305161225832,1364,0.8712510133279702,0.8048559504165939,0.279033479455423,0.8712510133279702,0.8048559504165939,0.279033479455423,-0.7062666494885538,2.448768676144494,0.14561431917744644,0,0,0.7027622064836339,2,TRUE,PFDA,0.8695452457510335,high,0.8178913738019169,high,TRUE,FALSE,0.7440892785477946,0.7236350755228131,0.9394583828875946,0.7365948897877197,0.837100438366269,0.6784078833026372,0.9183112565686133,0.6871569158455476
